county,precinct,office,district,candidate,party,votes,reg_voters,ev_total,ed_total
Dolores,1,President,,John McCain I Sarah Palin,REP,54,263,25,29
Dolores,1,President,,Barack Obama I Joe Biden,DEM,141,263,79,62
Dolores,1,President,,Chuck Baldwin I Darrell L. Castle,CNP,1,263,0,1
Dolores,1,President,,Bob Barr I Wayne A. Root,LIB,1,263,0,1
Dolores,1,President,,Cynthia McKinney I Rosa A. Clemente,GRN,0,263,0,0
Dolores,1,President,,Jonathan E. Allen I Jeffrey D. Stath,HQK,0,263,0,0
Dolores,1,President,,Gene C. Amondson I Leroy J. Pletten,PRO,0,263,0,0
Dolores,1,President,,James Harris I Alyson Kennedy,SWP,0,263,0,0
Dolores,1,President,,Charles Jay I Dan Sallis Jr.,BTP,0,263,0,0
Dolores,1,President,,Alan Keyes I Brian Rohrbough,AlP,0,263,0,0
Dolores,1,President,,Gloria La Riva I Robert Moses,SL,0,263,0,0
Dolores,1,President,,Bradford Lyttle I Abraham Bassford,USP,0,263,0,0
Dolores,1,President,,Frank Edward McEnulty I David Mangan,,0,263,0,0
Dolores,1,President,,Brian Moore I Stewart A. Alexander,SP,0,263,0,0
Dolores,1,President,,Ralph Nader I Matt Gonzalez,,2,263,2,0
Dolores,1,President,,Thomas Robert Stevens I Alden Link,OBJ,0,263,0,0
Dolores,1,U. S. Senate,,Bob Schaffer,REP,45,263,19,26
Dolores,1,U. S. Senate,,Mark Udall,DEM,136,263,80,56
Dolores,1,U. S. Senate,,Bob Kinsey Green,,5,263,3,2
Dolores,1,U. S. Senate,,"Douglas ""Dayhorse"" Campbell",ACP,4,263,0,4
Dolores,1,U. S. Senate,,Gary Cooper,,0,263,0,0
Dolores,1,U. S. Senate,,Bruce E Lohmiller,,0,263,0,0
Dolores,1,U. S. Senate,,Buddy Moore,,0,263,0,0
Dolores,1,U. S. House,3.0,John T. Salazar,DEM,154,263,88,66
Dolores,1,U. S. House,3.0,Wayne Wolf,REP,36,263,17,19
Dolores,1,State Board of Education,3.0,Jill L. Brake,DEM,122,263,72,50
Dolores,1,State Board of Education,3.0,Marcia Neal,REP,52,263,22,30
Dolores,1,State House,58.0,Scott R. Tipton,REP,57,263,30,27
Dolores,1,State House,58.0,Noelle Hagan,DEM,124,263,70,54
Dolores,1,District Attorney,22.0,James Wilson,REP,51,263,21,30
Dolores,1,District Attorney,22.0,Mark (Mac) Myers,DEM,125,263,75,50
Dolores,1,County Commissioner,2.0,Ernest (Ernie) R. Williams,DEM,106,263,56,50
Dolores,1,County Commissioner,2.0,Ricardo Archuleta,U_AF,65,263,39,26
Dolores,1,County Commissioner,3.0,Douglas R. Stowe,REP,58,263,33,25
Dolores,1,County Commissioner,3.0,Tim Huskey,DEM,123,263,69,54
Dolores,1,Shall Justice Allison H. Eid of the,,Yes,,107,263,58,49
Dolores,1,Colorado Supreme Court be retained in office?,,No,,39,263,15,24
Dolores,1,Shall Justice Gregory J. Hobbs Jr. of the,,Yes,,98,263,54,44
Dolores,1,Colorado Supreme Court be retained in office?,,No,,44,263,18,26
Dolores,1,Shall Judge Steven L. Bernard of the,,Yes,,99,263,54,45
Dolores,1,Colorado Court of Appeals be retained in office?,,No,,41,263,17,24
Dolores,1,Shall Judge David M. Furman of the,,Yes,,97,263,54,43
Dolores,1,Colorado Court of Appeals be retained in office?,,No,,45,263,18,27
Dolores,1,Shall Judge Robert D. Hawthorne of the,,Yes,,95,263,52,43
Dolores,1,Colorado Court of Appeals be retained in office?,,No,,46,263,20,26
Dolores,1,Shall Judge Jerry N. Jones of the,,Yes,,100,263,56,44
Dolores,1,Colorado Court of Appeals be retained in office?,,No,,41,263,16,25
Dolores,1,Shall Judge Gilbert M. Roman of the,,Yes,,98,263,53,45
Dolores,1,Colorado Court of Appeals be retained in,,No,,41,263,19,22
Dolores,1,Shall Judge Diana L. Terry of the,,Yes,,101,263,54,47
Dolores,1,Colorado Court of Appeals be retained in office?,,No,,40,263,18,22
Dolores,1,Shall Judge E. Dale Boyd of the,,Yes,,103,263,53,50
Dolores,1,Dolores County Court be retained in office?,,No,,49,263,27,22
Dolores,1,Amendment 46,,Yes,,75,263,41,34
Dolores,1,Amendment 46,,No,,104,263,58,46
Dolores,1,Amendment 47,,Yes,,64,263,39,25
Dolores,1,Amendment 47,,No,,115,263,62,53
Dolores,1,Amendment 48,,Yes,,17,263,10,7
Dolores,1,Amendment 48,,No,,167,263,92,75
Dolores,1,Amendment 49,,Yes,,53,263,31,22
Dolores,1,Amendment 49,,No,,122,263,65,57
Dolores,1,Amendment 50,,Yes,,111,263,55,56
Dolores,1,Amendment 50,,No,,66,263,42,24
Dolores,1,Amendment 51,,Yes,,80,263,51,29
Dolores,1,Amendment 51,,No,,96,263,47,49
Dolores,1,Amendment 52,,Yes,,56,263,32,24
Dolores,1,Amendment 52,,No,,116,263,65,51
Dolores,1,Amendment 53,,Yes,,86,263,50,36
Dolores,1,Amendment 53,,No,,65,263,34,31
Dolores,1,Amendment 54,,Yes,,82,263,45,37
Dolores,1,Amendment 54,,No,,89,263,47,42
Dolores,1,Amendment 55,,Yes,,46,263,26,20
Dolores,1,Amendment 55,,No,,104,263,59,45
Dolores,1,Amendment 56,,Yes,,58,263,40,18
Dolores,1,Amendment 56,,No,,96,263,48,48
Dolores,1,Amendment 57,,Yes,,72,263,43,29
Dolores,1,Amendment 57,,No,,77,263,40,37
Dolores,1,Amendment 58,,Yes,,117,263,67,50
Dolores,1,Amendment 58,,No,,61,263,29,32
Dolores,1,Amendment 59,,Yes,,101,263,57,44
Dolores,1,Amendment 59,,No,,68,263,34,34
Dolores,1,Referendum L,,Yes,,101,263,53,48
Dolores,1,Referendum L,,No,,68,263,38,30
Dolores,1,Referendum M,,Yes,,104,263,59,45
Dolores,1,Referendum M,,No,,63,263,29,34
Dolores,1,Referendum N,,Yes,,110,263,62,48
Dolores,1,Referendum N,,No,,57,263,27,30
Dolores,1,Referendum 0,,Yes,,78,263,48,30
Dolores,1,Referendum 0,,No,,86,263,42,44
Dolores,2,President,,John McCain I Sarah Palin,REP,160,288,84,76
Dolores,2,President,,Barack Obama I Joe Biden,DEM,65,288,38,27
Dolores,2,President,,Chuck Baldwin I Darrell L. Castle,CNP,2,288,1,1
Dolores,2,President,,Bob Barr I Wayne A. Root,LIB,1,288,0,1
Dolores,2,President,,Cynthia McKinney I Rosa A. Clemente,GRN,0,288,0,0
Dolores,2,President,,Jonathan E. Allen I Jeffrey D. Stath,HQK,0,288,0,0
Dolores,2,President,,Gene C. Amondson I Leroy J. Pletten,PRO,0,288,0,0
Dolores,2,President,,James Harris I Alyson Kennedy,SWP,0,288,0,0
Dolores,2,President,,Charles Jay I Dan Sallis Jr.,BTP,0,288,0,0
Dolores,2,President,,Alan Keyes I Brian Rohrbough,AlP,0,288,0,0
Dolores,2,President,,Gloria La Riva I Robert Moses,SL,0,288,0,0
Dolores,2,President,,Bradford Lyttle I Abraham Bassford,USP,0,288,0,0
Dolores,2,President,,Frank Edward McEnulty I David Mangan,,0,288,0,0
Dolores,2,President,,Brian Moore I Stewart A. Alexander,SP,0,288,0,0
Dolores,2,President,,Ralph Nader I Matt Gonzalez,,0,288,0,0
Dolores,2,President,,Thomas Robert Stevens I Alden Link,OBJ,0,288,0,0
Dolores,2,U. S. Senate,,Bob Schaffer,REP,132,288,67,65
Dolores,2,U. S. Senate,,Mark Udall,DEM,72,288,43,29
Dolores,2,U. S. Senate,,Bob Kinsey Green,,6,288,3,3
Dolores,2,U. S. Senate,,"Douglas ""Dayhorse"" Campbell",ACP,7,288,3,4
Dolores,2,U. S. Senate,,Gary Cooper,,0,288,0,0
Dolores,2,U. S. Senate,,Bruce E Lohmiller,,0,288,0,0
Dolores,2,U. S. Senate,,Buddy Moore,,0,288,0,0
Dolores,2,U. S. House,3.0,John T. Salazar,DEM,109,288,63,46
Dolores,2,U. S. House,3.0,Wayne Wolf,REP,108,288,53,55
Dolores,2,State Board of Education,3.0,Jill L. Brake,DEM,71,288,39,32
Dolores,2,State Board of Education,3.0,Marcia Neal,REP,131,288,64,67
Dolores,2,State House,58.0,Scott R. Tipton,REP,161,288,86,75
Dolores,2,State House,58.0,Noelle Hagan,DEM,55,288,27,28
Dolores,2,District Attorney,22.0,James Wilson,REP,123,288,65,58
Dolores,2,District Attorney,22.0,Mark (Mac) Myers,DEM,84,288,44,40
Dolores,2,County Commissioner,2.0,Ernest (Ernie) R. Williams,DEM,129,288,77,52
Dolores,2,County Commissioner,2.0,Ricardo Archuleta,UAF,94,288,44,50
Dolores,2,County Commissioner,3.0,Douglas R. Stowe,REP,144,288,73,71
Dolores,2,County Commissioner,3.0,Tim Huskey,DEM,75,288,43,32
Dolores,2,Shall Justice Allison H. Eid of the,,Yes,,103,288,57,46
Dolores,2,Colorado Supreme Court be retained in office?,,No,,78,288,35,43
Dolores,2,Shall Justice Gregory J. Hobbs Jr. of the,,Yes,,87,288,46,41
Dolores,2,Colorado Supreme Court be retained in office?,,No,,90,288,43,47
Dolores,2,Shall Judge Steven L. Bernard of the,,Yes,,91,288,49,42
Dolores,2,Colorado Court of Appeals be retained in office?,,No,,84,288,38,46
Dolores,2,Shall Judge David M. Furman of the,,Yes,,90,288,46,44
Dolores,2,Colorado Court of Appeals be retained in office?,,No,,79,288,38,41
Dolores,2,Shall Judge Robert D. Hawthorne of the,,Yes,,78,288,42,36
Dolores,2,Colorado Court of Appeals be retained in office?,,No,,92,288,42,50
Dolores,2,Shall Judge Jerry N. Jones of the,,Yes,,88,288,47,41
Dolores,2,Colorado Court of Appeals be retained in office?,,No,,81,288,37,44
Dolores,2,Shall Judge Gilbert M. Roman of the,,Yes,,82,288,46,36
Dolores,2,Colorado Court of Appeals be retained in office?,,No,,88,288,39,49
Dolores,2,Shall Judge Diana L. Terry of the,,Yes,,85,288,49,36
Dolores,2,Colorado Court of Appeals be retained in office?,,No,,84,288,36,48
Dolores,2,Shall Judge E. Dale Boyd of the,,Yes,,166,288,89,77
Dolores,2,Dolores County Court be retained in office?,,No,,49,288,25,24
Dolores,2,Amendment 46,,Yes,,95,288,54,41
Dolores,2,Amendment 46,,No,,117,288,56,61
Dolores,2,Amendment 47,,Yes,,105,288,60,45
Dolores,2,Amendment 47,,No,,114,288,55,59
Dolores,2,Amendment 48,,Yes,,87,288,41,46
Dolores,2,Amendment 48,,No,,127,288,74,53
Dolores,2,Amendment 49,,Yes,,79,288,49,30
Dolores,2,Amendment 49,,No,,130,288,62,68
Dolores,2,Amendment 50,,Yes,,98,288,60,38
Dolores,2,Amendment 50,,No,,112,288,51,61
Dolores,2,Amendment 51,,Yes,,37,288,21,16
Dolores,2,Amendment 51,,No,,176,288,93,83
Dolores,2,Amendment 52,,Yes,,46,288,25,21
Dolores,2,Amendment 52,,No,,161,288,82,79
Dolores,2,Amendment 53,,Yes,,80,288,51,29
Dolores,2,Amendment 53,,No,,111,288,51,60
Dolores,2,Amendment 54,,Yes,,104,288,53,51
Dolores,2,Amendment 54,,No,,112,288,62,50
Dolores,2,Amendment 55,,Yes,,60,288,37,23
Dolores,2,Amendment 55,,No,,128,288,62,66
Dolores,2,Amendment 56,,Yes,,49,288,33,16
Dolores,2,Amendment 56,,No,,143,288,69,74
Dolores,2,Amendment 57,,Yes,,68,288,40,28
Dolores,2,Amendment 57,,No,,124,288,62,62
Dolores,2,Amendment 58,,Yes,,75,288,42,33
Dolores,2,Amendment 58,,No,,139,288,71,68
Dolores,2,Amendment 59,,Yes,,66,288,41,25
Dolores,2,Amendment 59,,No,,143,288,67,76
Dolores,2,Referendum L,,Yes,,73,288,45,28
Dolores,2,Referendum L,,No,,131,288,64,67
Dolores,2,Referendum M,,Yes,,77,288,36,41
Dolores,2,Referendum M,,No,,124,288,67,57
Dolores,2,Referendum N,,Yes,,94,288,49,45
Dolores,2,Referendum N,,No,,104,288,53,51
Dolores,2,Referendum 0,,Yes,,83,288,47,36
Dolores,2,Referendum 0,,No,,116,288,54,62
Dolores,3,President,,John McCain I Sarah Palin,REP,228,365,150,78
Dolores,3,President,,Barack Obama I Joe Biden,DEM,64,365,41,23
Dolores,3,President,,Chuck Baldwin I Darrell L. Castle,CNP,3,365,1,2
Dolores,3,President,,Bob Barr I Wayne A. Root,LIB,3,365,2,1
Dolores,3,President,,Cynthia McKinney I Rosa A. Clemente,GRN,1,365,1,0
Dolores,3,President,,Jonathan E. Allen I Jeffrey D. Stath,HQK,0,365,0,0
Dolores,3,President,,Gene C. Amondson I Leroy J. Pletten,PRO,0,365,0,0
Dolores,3,President,,James Harris I Alyson Kennedy,SWP,0,365,0,0
Dolores,3,President,,Charles Jay I Dan Sallis Jr.,BTP,0,365,0,0
Dolores,3,President,,Alan Keyes I Brian Rohrbough,AlP,0,365,0,0
Dolores,3,President,,Gloria La Riva I Robert Moses,SL,0,365,0,0
Dolores,3,President,,Bradford Lyttle I Abraham Bassford,USP,0,365,0,0
Dolores,3,President,,Frank Edward McEnulty I David Mangan,,0,365,0,0
Dolores,3,President,,Brian Moore I Stewart A. Alexander,SP,1,365,0,1
Dolores,3,President,,Ralph Nader I Matt Gonzalez,,1,365,0,1
Dolores,3,President,,Thomas Robert Stevens I Alden Link,OBJ,0,365,0,0
Dolores,3,U. S. Senate,,Bob Schaffer,REP,179,365,110,69
Dolores,3,U. S. Senate,,Mark Udall,DEM,101,365,69,32
Dolores,3,U. S. Senate,,Bob Kinsey Green,,5,365,3,2
Dolores,3,U. S. Senate,,"Douglas ""Dayhorse"" Campbell",ACP,4,365,1,3
Dolores,3,U. S. Senate,,Gary Cooper,,0,365,0,0
Dolores,3,U. S. Senate,,Bruce E Lohmiller,,0,365,0,0
Dolores,3,U. S. Senate,,Buddy Moore,,0,365,0,0
Dolores,3,U.S. House,3.0,John T. Salazar,DEM,139,365,93,46
Dolores,3,U.S. House,3.0,Wayne Wolf,REP,149,365,93,56
Dolores,3,State Board of Education,3.0,Jill L. Brake,DEM,105,365,73,32
Dolores,3,State Board of Education,3.0,Marcia Neal,REP,161,365,103,58
Dolores,3,State House,58.0,Scott R. Tipton,REP,213,365,138,75
Dolores,3,State House,58.0,Noelle Hagan,DEM,80,365,49,31
Dolores,3,District Attorney,22.0,James Wilson,REP,129,365,76,53
Dolores,3,District Attorney,22.0,Mark (Mac) Myers,DEM,144,365,99,45
Dolores,3,County Commissioner,2.0,Ernest (Ernie) R. Williams,DEM,213,365,141,72
Dolores,3,County Commissioner,2.0,Ricardo Archuleta,UAF,77,365,45,32
Dolores,3,County Commissioner,3.0,Douglas R. Stowe,REP,184,365,117,67
Dolores,3,County Commissioner,3.0,Tim Huskey,DEM,114,365,74,40
Dolores,3,Shall Justice Allison H. Eid of the,,Yes,,126,365,84,42
Dolores,3,Colorado Supreme Court be retained in office?,,No,,102,365,60,42
Dolores,3,Shall Justice Gregory J. Hobbs Jr. of the,,Yes,,127,365,85,42
Dolores,3,Colorado Supreme Court be retained in office?,,No,,102,365,60,42
Dolores,3,Shall Judge Steven L. Bernard of the,,Yes,,122,365,85,37
Dolores,3,Colorado Court of Appeals be retained in office?,,No,,103,365,59,44
Dolores,3,Shall Judge David M. Furman of the,,Yes,,124,365,83,41
Dolores,3,Colorado Court of Appeals be retained in office?,,No,,101,365,60,41
